id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoD_model,QoD_os-version,QoD_api-level,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
761,93,360,564.75665,24.93333333,0,43.78333333,0,2,927,2,2,SM-G900F,4.4.2(G900FXXU1ANG2),19,0,19,5,4,5,5,5,5
325,33,360,573.0704,25.03333333,0,44.46666667,0,2,927,4,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,26,5,3,5,4,4,4
757,93,360,1635.5052,18.8,0,34.63333333,0,2,929,5,1,ARCHOS 101G9,4.0.4(20130118.175432),15,0,19,5,4,5,5,5,5
766,94,360,491.35098,24.98333333,0,43.78333333,0,2,940,4,2,SM-G900F,4.4.2(G900FXXU1ANG2),19,0,26,5,4,5,5,5,5
394,42,360,490.4983,25.28333333,1,44.45,0,1,942,3,1,HTC One X+,4.1.1(122573.16),16,1,26,5,4,5,5,5,5
418,47,360,299.96722,24.11666667,0,44.26666667,0,2,944,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,3,5,5,5,5
598,73,360,755.37897,25.28333333,0,44.45,0,1,950,3,4,HTC One X+,4.1.1(122573.16),16,1,18,5,4,3,3,3,3
357,37,360,409.44748,25.33333333,0,44.46666667,0,1,959,4,2,GT-I9300,4.1.2(I9300XXELL4),16,1,21,5,3,4,4,4,4
481,55,360,605.7351,24.91666667,0,43.8,0,1,969,3,4,HTC One X+,4.1.1(122573.16),16,1,44,5,4,5,5,5,5
361,38,360,735.9993,24.1,0,43.86666667,0,2,972,4,2,GT-I9300,4.1.2(I9300XXELL4),16,0,19,5,4,5,5,5,5
665,83,360,443.8256,24.71666667,0,43.78333333,0,2,978,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,30,5,3,4,3,4,3
479,54,360,408.27515,25.31666667,0,44.46666667,3,1,985,3,4,HTC One X+,4.1.1(122573.16),16,1,27,5,3,5,5,5,5
332,34,360,597.0035,25.15,0,44.13333333,0,2,990,3,1,HTC One X+,4.1.1(122573.16),16,1,26,5,4,3,3,4,4
212,18,360,550.87085,24.93333333,0,43.78333333,0,2,991,4,4,GT-I9300,4.1.2(I9300XXELL4),16,1,33,5,3,5,5,5,5
751,91,360,550.6318,24.93333333,0,43.78333333,0,2,993,4,2,ARCHOS 101G9,4.0.4(20130118.175432),15,1,21,5,4,5,4,5,4
476,54,360,391.1588,30.08333333,20,44.3,0,2,999,5,4,SM-G900F,4.4.2(G900FXXU1ANJ1),19,1,27,5,3,5,3,3,4
367,38,360,462.63293,24.98333333,0,44.13333333,0,2,1002,4,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,0,19,5,4,5,5,5,5
1640,153,360,150.87825,29.8,0,21.81666667,0,1,1028,5,4,GT-I9195,4.4.2(I9195XXUCNK4),19,0,38,4,4,5,4,4,4
641,80,360,462.38412,25.25,0,44.13333333,0,1,1033,2,4,HTC One X+,4.1.1(122573.16),16,1,21,5,2,5,4,4,3
359,37,360,454.45554,24.95,0,43.78333333,0,2,1036,4,2,GT-I9300,4.1.2(I9300XXELL4),16,1,21,5,4,5,5,5,5
618,75,360,708.39655,25.36666667,0,44.48333333,0,2,1036,4,2,GT-I9300,4.1.2(I9300XXELL4),16,1,17,5,4,5,5,4,5
95,5,360,400.3147,30,4,44.11666667,0,2,1051,5,1,GT-I9300,4.1.2(I9300XXELL4),16,1,24,5,4,3,4,2,3
354,36,360,834.0738,25.18333333,1,44.13333333,0,2,1079,2,2,HTC One X+,4.1.1(122573.16),16,1,38,5,4,4,4,4,4
737,89,360,558.4533,24.93333333,0,43.78333333,0,1,1082,2,4,ARCHOS 101G9,4.0.4(20130118.175432),19,0,23,5,3,5,4,4,4
390,41,240,176.4806,25.28333333,0,22.15,0,2,1082,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,23,5,4,5,4,5,4
561,66,360,462.79425,25.28333333,0,44.15,0,2,1082,4,2,GT-I9300,4.1.2(I9300XXELL4),16,0,23,5,3,3,4,4,4
791,99,360,662.0018,24.71666667,0,43.78333333,0,2,1082,4,3,GT-I9300,4.1.2(I9300XXELL4),16,1,44,5,5,4,3,4,3
591,72,360,603.7619,24.93333333,0,43.8,0,1,1086,2,4,HTC One X+,4.1.1(122573.16),16,1,20,5,3,4,5,5,5
352,36,360,596.4628,25.03333333,0,44.46666667,0,2,1086,4,4,HTC One X+,4.1.1(122573.16),16,1,38,5,5,5,5,4,5
101,6,360,629.98,25.11666667,0,44.46666667,0,2,1095,5,1,ARCHOS 101G9,4.0.4(20130118.175432),15,0,26,5,2,3,4,3,4
496,58,360,552.256,25.23333333,0,44.13333333,1,1,1097,3,4,HTC One X+,4.1.1(122573.16),16,1,44,5,4,5,4,4,4
1665,156,360,1261.7224,24.08333333,0,44.28333333,0,2,1098,5,4,HTC One_M8,5.0.1(457188.4),21,0,34,5,4,5,5,5,5
398,43,240,118.95989,24.1,0,22.1,0,2,1100,2,1,HTC One X+,4.1.1(122573.16),16,1,21,5,2,4,3,4,3
1528,144,240,491.91452,24.1,0,43.85,0,1,1112,5,4,Nexus 4,5.0.1(1602158),22,1,41,5,5,5,5,5,5
392,42,360,550.76495,25.21666667,1,44.13333333,0,2,1114,3,1,HTC One X+,4.1.1(122573.16),16,1,26,5,4,5,4,4,4
498,58,360,817.09125,25.31666667,0,44.46666667,1,1,1120,3,4,HTC One X+,4.1.1(122573.16),16,1,44,5,3,5,4,3,3
655,82,360,195.54922,24.06666667,0,44.18333333,0,2,1120,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,4,5,4,4,4
351,36,360,729.11035,25.3,0,44.46666667,0,1,1132,2,1,HTC One X+,4.1.1(122573.16),16,1,38,5,3,5,4,4,5
1254,132,360,221.36465,29.8,0,21.8,0,1,1138,2,2,D5803,4.4.4(suv3Rw),19,1,30,5,4,5,4,4,4
743,90,360,571.4526,24.9,0,43.78333333,0,1,1138,3,4,ARCHOS 101G9,4.0.4(20130118.175432),15,1,44,5,4,4,3,2,2
168,11,360,577.67316,30.26666667,0,44.16666667,0,1,1144,2,1,HTC One X+,4.1.1(122573.16),16,1,27,5,3,5,4,4,4
133,7,360,392.09268,30.06666667,0,44.23333333,0,2,1147,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,0,28,5,4,5,5,4,5
89,5,360,394.92047,25.33333333,0,44.46666667,0,2,1171,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,24,5,4,5,4,4,4
345,35,360,626.3542,25.28333333,1,44.45,0,1,1171,2,1,SM-G900F,4.4.2(G900FXXU1ANG2),19,0,37,5,4,3,4,2,3
143,8,360,382.47168,29.8,0,43.96666667,0,2,1175,5,4,HTC One X+,4.1.1(122573.16),16,1,23,4,4,5,4,4,4
289,28,360,528.7869,24.95,0,43.8,0,2,1179,2,2,GT-I9300,4.1.2(I9300XXELL4),16,0,28,5,5,5,4,4,5
745,90,360,473.63916,25.26666667,0,44.13333333,0,2,1183,4,2,ARCHOS 101G9,4.0.4(20130118.175432),15,1,44,5,4,4,4,4,4
756,92,360,245.33116,29.95,2,43.96666667,1,1,1189,3,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,25,5,4,5,5,5,4
1148,128,360,392.27704,30.08333333,0,44.25,0,2,1191,4,3,D5803,4.4.4(suv3Rw),19,1,27,5,5,5,5,5,4
1352,137,360,409.55862,25.46666667,0,44.46666667,0,1,1197,5,4,D5803,4.4.4(suv3Rw),19,1,26,5,4,5,4,4,4
1183,130,360,553.1494,25.01666667,0,44.15,0,2,1199,4,3,D5803,4.4.4(suv3Rw),19,1,29,5,4,5,4,4,4
412,45,360,578.5965,30.06666667,0,44.2,0,2,1199,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,23,5,3,5,5,4,5
467,52,360,399.86847,29.9,2,43.95,0,1,1201,3,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,4,5,5,5,5
1258,133,360,233.2792,25.3,0,22.16666667,0,1,1209,2,2,D5803,4.4.4(suv3Rw),19,1,31,5,4,5,4,4,4
389,41,360,195.9918,24.36666667,0,44.26666667,0,1,1215,4,2,GT-I9300,4.1.2(I9300XXELL4),16,1,23,5,4,5,5,5,5
1351,137,360,82.98645,12.1,0,21.83333333,0,1,1216,5,4,D5803,4.4.4(suv3Rw),19,1,26,5,4,4,2,3,2
570,67,360,218.08926,29.95,0,43.96666667,0,1,1222,2,2,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,5,5,5,5,5
487,55,360,299.4472,30.25,0,44.11666667,0,1,1225,2,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,44,5,3,4,4,3,4
80,4,360,551.5803,25.36666667,0,44.48333333,0,2,1226,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,38,5,5,5,5,5,5
489,56,360,391.74017,30.31666667,0,44.2,0,2,1226,2,2,HTC One X+,4.1.1(122573.16),16,1,27,5,4,5,5,5,5
739,89,360,245.38089,29.9,3,43.95,3,1,1243,2,4,HTC One X+,4.1.1(122573.16),16,0,23,5,3,5,4,5,4
254,24,360,756.11786,25.3,1,44.46666667,0,1,1247,2,1,HTC One X+,4.1.1(122573.16),16,1,23,5,3,3,3,4,3
105,6,360,399.3218,30.05,0,44.21666667,0,2,1253,5,1,ARCHOS 101G9,4.0.4(20130118.175432),15,0,26,5,4,5,5,5,5
139,8,360,472.75085,25.23333333,2,44.13333333,0,1,1257,2,1,HTC One X+,4.1.1(122573.16),16,1,23,5,2,5,4,4,5
122,7,360,391.98462,30.31666667,0,44.2,0,2,1259,2,2,GT-I9195,4.4.2(I9195XXUCNK1),19,0,28,5,4,4,3,4,3
734,88,360,408.3867,25.25,0,44.13333333,0,2,1265,3,4,ARCHOS 101G9,4.0.4(20130118.175432),15,1,24,5,4,5,4,4,4
161,10,240,70.65425,24.88333333,0,21.81666667,0,1,1267,2,1,HTC One X+,4.1.1(122573.16),16,0,25,5,2,5,4,4,3
1292,134,360,235.16545,29.66666667,0,21.81666667,0,2,1270,5,4,D5803,4.4.4(suv3Rw),19,1,26,5,5,5,5,5,5
1301,135,360,48.053066,10.01666667,0,21.78333333,0,2,1272,5,4,D5803,4.4.4(suv3Rw),19,1,25,5,4,5,4,4,4
1300,135,360,400.19345,30.41666667,0,44.2,0,1,1274,5,4,D5803,4.4.4(suv3Rw),19,1,25,5,4,5,4,3,4
647,80,360,400.5434,29.98333333,1,44.1,0,2,1275,5,4,HTC One X+,4.1.1(122573.16),16,1,21,5,3,5,4,4,4
323,33,360,186.56001,30.35,0,44.25,0,2,1276,4,2,GT-I9300,4.1.2(I9300XXELL4),16,1,26,5,5,5,4,5,5
503,60,360,397.14166,25.3,1,44.46666667,0,2,1280,3,4,HTC One X+,4.1.1(122573.16),16,1,38,5,4,4,4,5,4
792,99,360,196.10597,24.08333333,0,44.26666667,0,2,1286,2,3,GT-I9300,4.1.2(I9300XXELL4),16,1,44,5,3,5,5,4,4
577,69,360,707.79,25.31666667,0,44.48333333,0,1,1288,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,21,5,4,5,4,4,4
1347,137,360,74.53209,8.466666667,0,21.81666667,0,1,1296,5,4,D5803,4.4.4(suv3Rw),19,1,26,5,5,5,1,1,1
1629,151,360,396.19733,25.51666667,0,44.46666667,0,2,1296,5,4,HTC One_M8,5.0.1(457188.4),21,1,33,5,4,5,3,2,3
1416,138,360,300.33838,30.1,1,44.2,0,2,1308,5,4,GT-I9300,4.3(I9300XXUGNB5),18,1,26,5,4,5,4,4,4
797,100,360,579.43787,30.11666667,0,44.3,0,2,1310,2,3,HTC One X+,4.1.1(122573.16),16,1,52,5,4,4,3,2,4
397,42,360,708.41626,25.15,0,44.48333333,0,1,1310,5,4,HTC One X+,4.1.1(122573.16),16,1,26,5,2,3,5,4,3
400,43,360,438.38,25.23333333,3,44.13333333,0,1,1319,2,1,HTC One X+,4.1.1(122573.16),16,1,21,5,4,5,5,5,5
245,22,240,118.56364,24.01666667,0,21.95,0,1,1334,4,4,GT-I9300,4.1.2(I9300XXELL4),16,0,26,5,5,4,3,3,4
978,121,360,655.04034,24.71666667,0,43.78333333,0,2,1335,2,3,D5803,4.4.4(suv3Rw),19,1,30,5,4,5,4,3,4
648,80,360,194.13948,24.1,0,44.26666667,0,1,1338,5,4,HTC One X+,4.1.1(122573.16),16,1,21,5,4,5,4,5,4
762,92,360,391.98685,30.35,0,44.26666667,0,1,1344,3,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,25,5,4,5,4,4,4
742,90,360,567.90344,25.23333333,0,44.13333333,0,1,1345,3,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,44,5,4,5,4,4,4
1342,136,360,235.15819,29.8,0,21.8,0,2,1345,5,4,SM-G900F,5.0(G900FXXU1BOC7),21,1,31,5,4,3,3,3,3
488,56,360,633.1344,25.28333333,0,44.45,1,1,1350,3,4,HTC One X+,4.1.1(122573.16),16,1,27,5,3,5,4,4,4
164,10,360,473.56937,24.98333333,0,43.78333333,0,2,1350,4,2,GT-I9300,4.1.2(I9300XXELL4),16,0,25,5,3,5,4,5,4
339,34,360,300.19724,30.25,0,44.1,0,1,1351,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,26,5,4,5,4,5,4
588,71,360,396.07407,25.35,0,44.46666667,0,1,1367,3,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,20,5,3,5,4,2,3
750,91,360,195.48404,24.3,0,44.18333333,0,1,1368,2,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,21,5,4,5,4,4,4
331,34,360,391.76868,30.33333333,0,44.23333333,0,1,1371,2,2,HTC One X+,4.1.1(122573.16),16,1,26,5,2,4,3,2,3
501,59,360,392.9107,30.2,0,44.05,0,2,1371,3,4,HTC One X+,4.1.1(122573.16),16,1,31,5,4,5,2,3,4
759,93,360,217.36572,29.9,0,43.95,0,1,1385,3,4,D5803,4.4.4(suv3Rw),19,0,19,5,4,5,4,4,4
239,21,360,196.01994,24.36666667,0,44.3,0,2,1386,4,4,GT-I9300,4.1.2(I9300XXELL4),16,0,27,5,5,5,5,5,5
381,40,360,606.64685,24.71666667,0,43.8,0,1,1388,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,21,5,4,5,4,4,4
224,19,360,653.60443,24.73333333,0,43.78333333,0,2,1389,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,27,5,3,4,3,4,3
502,59,360,733.0012,25.26666667,1,44.15,0,1,1398,3,4,HTC One X+,4.1.1(122573.16),16,1,31,5,4,4,3,1,3
642,80,360,720.66254,25.26666667,1,44.15,0,1,1402,3,4,HTC One X+,4.1.1(122573.16),16,1,21,5,3,5,4,4,4
202,17,360,399.6855,30.3,0,44.16666667,0,2,1403,4,4,GT-I9300,4.1.2(I9300XXELL4),16,1,39,5,4,4,4,3,4
578,69,360,471.37125,25.3,0,44.46666667,0,1,1404,2,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,21,5,4,5,4,4,4
251,23,360,396.32956,25.35,0,44.46666667,0,1,1404,4,4,GT-I9300,4.1.2(I9300XXELL4),16,1,27,5,3,5,3,4,4
637,79,360,704.3664,25.18333333,0,44.13333333,0,1,1405,3,4,HTC One X+,4.1.1(122573.16),16,1,25,5,3,5,4,4,4
358,37,360,464.32126,25.11666667,0,44.46666667,0,1,1406,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,21,5,4,5,5,5,5
288,28,360,391.83496,30.28333333,1,44.16666667,0,1,1413,2,2,GT-I9300,4.1.2(I9300XXELL4),16,0,28,5,4,5,4,4,4
411,45,360,472.1995,25.25,2,44.15,0,1,1415,3,1,GT-I9195,4.4.2(I9195XXUCNK1),19,1,23,5,4,5,5,5,5
1350,137,360,390.83112,30.48333333,1,44.3,0,1,1418,5,4,D5803,4.4.4(suv3Rw),19,1,26,5,5,5,4,4,4
1049,124,360,587.04865,25.08333333,0,44.46666667,0,2,1421,4,3,D5803,4.4.4(suv3Rw),19,1,30,5,4,5,4,3,4
1701,161,360,74.50701,8.483333333,0,21.83333333,0,1,1431,4,3,ARCHOS 101G9,4.0.4(20130118.175432),15,0,45,4,3,3,1,2,1
754,92,240,314.27461,24,0,22.1,0,1,1431,5,1,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,25,5,4,5,4,3,3
320,32,360,490.9294,25.28333333,0,44.46666667,0,1,1437,5,4,GT-I9300,4.3(I9506XXUBML5),18,0,37,5,5,5,5,4,5
1541,145,360,1719.4792,30.05,0,44.16666667,0,2,1438,5,4,GT-I9300,5.1.1(456c49d1b2),22,1,25,4,5,3,4,3,4
235,21,360,453.79944,25.25,1,44.13333333,0,1,1447,2,1,HTC One X+,4.1.1(122573.16),16,0,27,5,2,5,5,5,5
1712,162,360,150.39824,29.78333333,0,21.8,0,1,1448,5,4,ARCHOS 101G9,4.0.4(20130118.175432),15,0,50,4,4,5,4,5,4
640,80,360,522.6452,25.31666667,2,44.46666667,0,1,1449,3,4,HTC One X+,4.1.1(122573.16),16,1,21,5,2,5,4,4,3
94,5,360,577.7473,30.31666667,0,44.2,0,1,1451,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,24,5,4,5,5,5,5
468,53,360,383.41434,29.91666667,1,43.96666667,0,1,1453,2,4,HTC One X+,4.1.1(122573.16),16,1,24,5,3,5,5,5,4
1506,142,360,235.39468,29.85,0,21.83333333,0,1,1454,5,4,D5803,4.4.4(suv3Rw),19,1,36,5,5,5,3,3,4
760,92,360,553.66956,24.75,0,43.78333333,0,1,1454,5,1,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,25,5,4,5,3,4,4
1630,151,360,93.66107,12.08333333,0,21.81666667,0,2,1455,5,4,D5803,4.4.4(suv3Rw),19,1,33,5,5,5,3,3,3
1207,130,360,336.47662,24.06666667,0,44.23333333,0,2,1462,2,3,D5803,4.4.4(suv3Rw),19,1,29,5,3,5,5,5,5
234,19,360,412.74695,29.9,0,43.93333333,0,1,1466,4,4,GT-I9300,4.1.2(I9300XXELL4),16,1,27,5,5,5,5,4,5
546,64,360,631.0203,25.3,0,44.48333333,4,1,1469,3,4,SM-G900F,4.4.2(G900FXXU1ANJ1),19,1,26,5,4,5,4,4,4
304,31,360,398.2457,30.1,0,44.26666667,0,1,1471,5,1,GT-I9195,4.4.2(I9195XXUCNK1),19,1,25,5,3,5,4,4,4
544,64,360,391.94333,30.11666667,0,44.33333333,0,2,1471,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,4,3,3,4,4
811,102,360,473.3459,25.38333333,0,44.15,0,2,1475,2,1,D5803,4.4.4(suv3Rw),19,1,19,5,4,5,4,4,4
445,50,360,725.5131,25.28333333,0,44.35,0,1,1477,2,4,SM-G900F,4.4.2(G900FXXU1ANG2),16,1,25,5,4,5,4,4,4
1525,144,360,165.88449,30.25,2,22.15,0,1,1479,5,4,SM-G900F,5.0(G900FXXU1BOC2),21,1,41,5,5,5,3,3,4
264,25,360,737.19006,24.78333333,0,43.8,0,1,1482,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,0,28,5,3,5,4,4,4
433,46,360,412.02502,29.71666667,0,43.96666667,0,1,1485,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,25,5,4,5,4,4,4
1270,134,360,482.2909,25,2,43.76666667,0,1,1492,4,1,D5803,4.4.4(suv3Rw),19,1,26,5,5,5,5,5,5
263,25,360,563.60706,24.68333333,0,43.78333333,0,1,1495,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,28,5,3,5,4,2,4
362,38,360,578.24725,30.05,0,44.16666667,0,1,1495,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,0,19,5,4,5,5,5,5
1443,139,360,235.18333,29.81666667,0,21.81666667,0,2,1496,4,4,D5803,4.4.4(suv3Rw),19,1,39,5,5,5,3,4,3
1638,153,360,736.659,30.48333333,0,44.3,0,1,1496,5,4,GT-I9195,4.4.2(I9195XXUCNK4),19,0,38,4,4,5,3,4,4
242,21,360,578.6132,30.28333333,1,44.2,0,1,1505,2,1,HTC One X+,4.1.1(122573.16),16,0,27,5,2,5,5,5,5
1531,144,360,293.77463,24.9,1,21.81666667,0,1,1505,5,4,Nexus 4,5.0.1(1602158),22,1,41,5,5,5,3,4,3
159,10,360,665.7012,25.11666667,0,44.46666667,0,2,1507,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,0,25,5,3,4,4,4,4
572,68,360,622.5279,25.13333333,0,44.46666667,0,1,1517,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,25,5,4,3,4,4,3
1430,138,360,221.33842,23.76666667,0,21.83333333,0,1,1519,5,4,GT-I9300,4.3(I9300XXUGNB5),18,1,26,5,5,5,4,5,5
198,17,360,629.5689,25.13333333,1,44.13333333,2,1,1521,2,1,HTC One X+,4.1.1(122573.16),16,1,39,5,3,5,3,4,4
1518,143,360,899.3537,30.41666667,0,44.2,0,1,1521,5,4,HTC One_M8,5.0.1(457188.4),21,1,47,5,5,5,5,5,5
571,68,240,115.452995,24,0,21.93333333,0,1,1526,2,2,GT-I9195,4.4.2(I9195XXUCNK1),19,1,25,5,4,4,3,3,3
388,41,360,412.90427,29.71666667,0,43.96666667,0,1,1526,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,23,5,4,5,5,5,5
1527,144,360,221.69891,24.3,0,22.16666667,0,1,1531,5,4,SM-G900F,5.0(G900FXXU1BOC2),21,1,41,5,5,5,5,5,5
407,44,360,462.67474,24.78333333,0,43.78333333,0,1,1536,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,22,5,4,5,5,4,5
200,17,360,528.43915,25.35,0,44.46666667,0,2,1538,4,4,GT-I9300,4.1.2(I9300XXELL4),16,1,39,5,3,4,4,4,4
583,70,360,570.0711,24.76666667,1,43.78333333,0,1,1543,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,18,5,4,4,5,5,5
625,75,360,731.2125,25.26666667,0,44.13333333,0,2,1546,2,2,GT-I9300,4.1.2(I9300XXELL4),16,1,17,5,4,3,4,4,4
364,38,360,397.43967,30.06666667,0,44.2,0,1,1549,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,0,19,5,4,5,5,5,5
1536,145,360,621.12897,25.05,0,43.78333333,0,1,1550,5,4,SM-N9005,4.4.2(N9005XXUGNI4),19,1,25,5,5,5,4,4,4
368,38,360,573.3253,29.65,0,43.96666667,0,2,1553,4,4,SM-G900F,4.4.2(G900FXXU1ANG2),19,0,19,5,4,5,5,5,5
366,38,360,378.34213,25.18333333,0,44.46666667,0,1,1553,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,0,19,5,3,5,3,4,3
442,49,360,493.67795,25.23333333,1,44.13333333,0,1,1556,3,4,HTC One X+,4.1.1(122573.16),16,1,24,5,3,5,4,4,4
1533,144,240,49.725773,12.08333333,0,21.81666667,0,2,1557,5,4,Nexus 4,5.0.1(1602158),22,1,41,5,5,5,4,4,4
615,75,360,391.92532,30.33333333,0,44.21666667,0,1,1559,2,2,GT-I9195,4.4.2(I9195XXUCNK1),19,1,17,5,4,5,5,4,5
1508,142,360,564.04553,25.06666667,0,43.78333333,0,1,1567,5,4,D5803,4.4.4(suv3Rw),19,1,36,5,5,5,4,3,4
1249,132,360,897.00543,30.4,0,44.16666667,0,2,1568,2,2,D5803,4.4.4(suv3Rw),19,1,30,5,4,5,5,5,5
645,80,360,196.08688,24.28333333,4,44.16666667,4,1,1577,3,4,HTC One X+,4.1.1(122573.16),16,1,21,5,3,4,4,4,4
160,10,240,118.85754,24.11666667,0,22.1,0,1,1579,2,1,HTC One X+,4.1.1(122573.16),16,0,25,5,3,5,3,4,3
658,82,240,70.67071,24.73333333,0,21.81666667,0,1,1580,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,4,5,4,4,4
206,18,360,662.25006,25.05,0,44.45,0,1,1584,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,33,5,4,5,4,4,4
635,78,360,563.00714,25.21666667,0,44.13333333,4,1,1586,3,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,19,5,3,5,4,4,4
636,79,360,563.00714,25.21666667,0,44.13333333,4,1,1586,3,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,25,5,3,5,4,4,4
767,94,360,528.1992,24.78333333,0,43.8,0,1,1589,5,1,SM-G900F,4.4.2(G900FXXU1ANG2),19,1,26,5,4,5,5,5,5
1607,151,360,731.57227,25.05,0,43.78333333,0,1,1594,5,4,GT-I9300,5.1.1(456c49d1b2),22,1,33,5,4,5,3,4,4
413,45,360,412.75757,29.76666667,0,43.96666667,0,1,1595,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,23,5,3,5,5,3,5
656,82,360,442.07083,24.75,0,43.78333333,0,1,1602,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,4,5,5,4,3
649,81,360,457.18112,25.1,0,44.46666667,0,1,1610,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,18,5,3,5,4,4,4
282,27,360,578.2599,30.06666667,0,44.2,0,1,1614,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,27,5,3,5,5,5,5
567,67,240,115.06865,24.03333333,0,22.11666667,0,1,1616,5,4,GT-I9195,4.4.2(I9195XXUCNK1),19,1,26,5,4,5,4,4,4
